WorkTitle #,Word,Tag,POS
,preaches,O,VBZ
,the,O,DT
,hidden,O,JJ
,greatness,O,NN
,of,O,IN
,the,O,DT
,system,O,NN
,and,O,CC
,orders,O,NNS
,him,O,PRP
,not,O,RB
,to,O,TO
,ask,O,VB
,for,O,IN
,the,O,DT
,truth,O,NN
,",",O,","
,“,O,NN
,for,O,IN
,it,O,PRP
,is,O,VBZ
,not,O,RB
,necessary,O,JJ
,to,O,TO
,accept,O,VB
,everything,O,NN
,as,O,IN
,true,O,JJ
,",",O,","
,one,O,PRP
,must,O,MD
,accept,O,VB
,it,O,PRP
,as,O,IN
,necessary,O,JJ
,.,O,.
,”,O,VB
,“,O,IN
,A,O,DT
,melancholy,O,JJ
,conclusion,O,NN
,",",O,","
,”,O,NNP
,said,O,VBD
,K,O,NNP
,.,O,.
,",",O,","
,“,O,VBD
,it,O,PRP
,turns,O,VBZ
,lying,O,VBG
,into,O,IN
,a,O,DT
,universal,O,JJ
,principle,O,NN
,.,O,.
,”,O,VB
,The,O,DT
,force,O,NN
,of,O,IN
,the,O,DT
,machinery,O,NN
,in,O,IN
,which,O,WDT
,the,O,DT
,K,O,NNP
,.,O,.
,of,O,IN
,The,O,DT
,Trial,O,NNP
,is,O,VBZ
,caught,O,VBN
,lies,O,NNS
,precisely,O,RB
,in,O,IN
,this,O,DT
,appearance,O,NN
,of,O,IN
,necessity,O,NN
,on,O,IN
,the,O,DT
,one,O,CD
,hand,O,NN
,",",O,","
,and,O,CC
,in,O,IN
,the,O,DT
,admiration,O,NN
,of,O,IN
,the,O,DT
,people,O,NNS
,for,O,IN
,necessity,O,NN
,on,O,IN
,the,O,DT
,other,O,JJ
,.,O,.
,Lying,O,VBG
,for,O,IN
,the,O,DT
,sake,O,NN
,of,O,IN
,necessity,O,NN
,appears,O,VBZ
,as,O,IN
,something,O,NN
,sublime,O,NN
,;,O,:
,and,O,CC
,a,O,DT
,man,O,NN
,who,O,WP
,does,O,VBZ
,not,O,RB
,submit,O,VB
,to,O,TO
,the,O,DT
,machinery,O,NN
,",",O,","
,though,O,IN
,submission,O,NN
,may,O,MD
,mean,O,VB
,his,O,PRP$
,death,O,NN
,",",O,","
,is,O,VBZ
,regarded,O,VBN
,as,O,IN
,a,O,DT
,sinner,O,NN
,against,O,IN
,some,O,DT
,kind,O,NN
,of,O,IN
,divine,O,NN
,order,O,NN
,.,O,.
,In,O,IN
,the,O,DT
,case,O,NN
,of,O,IN
,K,O,NNP
,.,O,.
,",",O,","
,submission,O,NN
,is,O,VBZ
,obtained,O,VBN
,not,O,RB
,by,O,IN
,force,O,NN
,",",O,","
,but,O,CC
,simply,O,RB
,through,O,IN
,the,O,DT
,increasing,O,VBG
,feeling,O,NN
,of,O,IN
,guilt,O,NN
,which,O,WDT
,the,O,DT
,unbased,O,JJ
,accusation,O,NN
,has,O,VBZ
,originated,O,VBN
,in,O,IN
,the,O,DT
,accused,O,JJ
,man,O,NN
,.,O,.
,This,O,DT
,feeling,O,NN
,",",O,","
,of,O,IN
,course,O,NN
,",",O,","
,is,O,VBZ
,based,O,VBN
,in,O,IN
,the,O,DT
,last,O,JJ
,instance,O,NN
,on,O,IN
,the,O,DT
,fact,O,NN
,that,O,IN
,no,O,DT
,man,O,NN
,is,O,VBZ
,free,O,JJ
,from,O,IN
,guilt,O,NN
,.,O,.
,And,O,CC
,since,O,IN
,K,O,NNP
,.,O,.
,",",O,","
,a,O,DT
,busy,O,JJ
,bank,O,NN
,employee,O,NN
,",",O,","
,has,O,VBZ
,never,O,RB
,had,O,VBN
,time,O,NN
,to,O,TO
,ponder,O,VB
,such,O,JJ
,generalities,O,NNS
,",",O,","
,he,O,PRP
,is,O,VBZ
,induced,O,VBN
,into,O,IN
,exploring,O,VBG
,certain,O,JJ
,unfamiliar,O,JJ
,regions,O,NNS
,of,O,IN
,his,O,PRP$
,ego,O,NN
,.,O,.
,This,O,DT
,",",O,","
,in,O,IN
,turn,O,NN
,",",O,","
,leads,O,VBZ
,him,O,PRP
,into,O,IN
,confusion,O,NN
,",",O,","
,into,O,IN
,mistaking,O,VBG
,the,O,DT
,organized,O,VBN
,and,O,CC
,wicked,O,VBN
,evil,O,NN
,of,O,IN
,the,O,DT
,world,O,NN
,surrounding,O,VBG
,him,O,PRP
,for,O,IN
,some,O,DT
,necessary,O,JJ
,expression,O,NN
,of,O,IN
,that,O,DT
,general,O,JJ
,guiltiness,O,NN
,which,O,WDT
,is,O,VBZ
,harmless,O,NN
,and,O,CC
,almost,O,RB
,innocent,O,JJ
,if,O,IN
,compared,O,VBN
,with,O,IN
,the,O,DT
,bad,O,JJ
,will,O,MD
,that,O,WDT
,turns,O,VBZ
,“,O,JJ
,lying,O,VBG
,into,O,IN
,a,O,DT
,universal,O,JJ
,principle,O,NN
,”,O,NN
,and,O,CC
,uses,O,NNS
,and,O,CC
,abuses,O,NNS
,even,O,RB
,man,O,NN
,’,O,VBZ
,s,O,JJ
,justified,O,JJ
,humbleness,O,NN
,.,O,.
,The,O,DT
,feeling,O,NN
,of,O,IN
,guilt,O,NN
,",",O,","
,therefore,O,RB
,",",O,","
,which,O,WDT
,gets,O,VBZ
,hold,O,NN
,of,O,IN
,K,O,NNP
,.,O,.
,and,O,CC
,starts,O,VBZ
,an,O,DT
,interior,O,JJ
,development,O,NN
,of,O,IN
,its,O,PRP$
,own,O,JJ
,",",O,","
,changes,O,NNS
,and,O,CC
,models,O,NNS
,its,O,PRP$
,victim,O,NN
,until,O,IN
,he,O,PRP
,fits,O,VBZ
,into,O,IN
,the,O,DT
,situation,O,NN
,of,O,IN
,standing,O,VBG
,a,O,DT
,trial,O,NN
,.,O,.
,It,O,PRP
,is,O,VBZ
,this,O,DT
,feeling,O,NN
,which,O,WDT
,makes,O,VBZ
,him,O,PRP
,capable,O,JJ
,of,O,IN
,entering,O,VBG
,the,O,DT
,world,O,NN
,of,O,IN
,necessity,O,NN
,and,O,CC
,injustice,O,NN
,and,O,CC
,lying,O,NN
,",",O,","
,of,O,IN
,playing,O,VBG
,a,O,DT
,role,O,NN
,according,O,VBG
,to,O,TO
,the,O,DT
,rules,O,NNS
,",",O,","
,of,O,IN
,adapting,O,VBG
,himself,O,PRP
,to,O,TO
,existing,O,VBG
,conditions,O,NNS
,.,O,.
,This,O,DT
,interior,O,JJ
,development,O,NN
,of,O,IN
,the,O,DT
,hero,O,NN
,—,O,VBD
,his,O,PRP$
,éducation,O,NN
,sentimentale,O,NN
,—,O,NNP
,constitutes,O,VBZ
,a,O,DT
,second,O,JJ
,level,O,NN
,of,O,IN
,the,O,DT
,story,O,NN
,which,O,WDT
,accompanies,O,VBZ
,the,O,DT
,functioning,O,NN
,of,O,IN
,the,O,DT
,bureaucratic,O,JJ
,machine,O,NN
,.,O,.
,The,O,DT
,events,O,NNS
,of,O,IN
,the,O,DT
,exterior,O,JJ
,world,O,NN
,and,O,CC
,the,O,DT
,interior,O,JJ
,development,O,NN
,coincide,O,NN
,finally,O,RB
,in,O,IN
,the,O,DT
,last,O,JJ
,scene,O,NN
,of,O,IN
,the,O,DT
,execution,O,NN
,",",O,","
,an,O,DT
,execution,O,NN
,to,O,TO
,which,O,WDT
,",",O,","
,although,O,IN
,it,O,PRP
,is,O,VBZ
,without,O,IN
,reason,O,NN
,",",O,","
,K,O,NNP
,.,O,.
,submits,O,NNS
,without,O,IN
,a,O,DT
,struggle,O,NN
,.,O,.
,It,O,PRP
,has,O,VBZ
,been,O,VBN
,characteristic,O,JJ
,of,O,IN
,our,O,PRP$
,history,O,NN
,conscious,O,JJ
,century,O,NN
,that,O,IN
,its,O,PRP$
,worst,O,JJS
,crimes,O,NNS
,have,O,VBP
,been,O,VBN
,committed,O,VBN
,in,O,IN
,the,O,DT
,name,O,NN
,of,O,IN
,some,O,DT
,kind,O,NN
,of,O,IN
,necessity,O,NN
,or,O,CC
,in,O,IN
,the,O,DT
,name,O,NN
,—,O,NNP
,and,O,CC
,this,O,DT
,amounts,O,NNS
,to,O,TO
,the,O,DT
,same,O,JJ
,thing,O,NN
,—,O,NN
,of,O,IN
,the,O,DT
,“,O,NNP
,wave,O,NN
,of,O,IN
,the,O,DT
,future,O,NN
,.,O,.
,”,O,VB
,For,O,IN
,people,O,NNS
,who,O,WP
,submit,O,VBP
,to,O,TO
,this,O,DT
,",",O,","
,who,O,WP
,renounce,O,VBP
,their,O,PRP$
,freedom,O,NN
,and,O,CC
,their,O,PRP$
,right,O,NN
,of,O,IN
,action,O,NN
,",",O,","
,even,O,RB
,though,O,IN
,they,O,PRP
,may,O,MD
,pay,O,VB
,the,O,DT
,price,O,NN
,of,O,IN
,death,O,NN
,for,O,IN
,their,O,PRP$
,delusion,O,NN
,",",O,","
,anything,O,NN
,more,O,RBR
,charitable,O,JJ
,can,O,MD
,hardly,O,RB
,be,O,VB
,said,O,VBD
,than,O,IN
,the,O,DT
,words,O,NNS
,with,O,IN
,which,O,WDT
,Kafka,I-PER,NNP
,concludes,O,VBZ
,The,O,DT
,Trial,O,NN
,:,O,:
,“,O,NN
,It,O,PRP
,was,O,VBD
,as,O,IN
,if,O,IN
,he,O,PRP
,meant,O,VBD
,the,O,DT
,shame,O,NN
,of,O,IN
,it,O,PRP
,to,O,TO
,outlive,O,VB
,him,O,PRP
,.,O,.
,”,O,NN
,That,O,IN
,The,O,DT
,Trial,O,NNP
,implies,O,VBZ
,a,O,DT
,critique,O,NN
,of,O,IN
,the,O,DT
,bureaucratic,O,JJ
,regime,O,NN
,of,O,IN
,the,O,DT
,Austrian,O,JJ
,pre,O,NN
,-,O,:
,war,O,NN
,government,O,NN
,whose,O,WP$
,numerous,O,JJ
,and,O,CC
,conflicting,O,VBG
,nationalities,O,NNS
,were,O,VBD
,dominated,O,VBN
,by,O,IN
,a,O,DT
,homogeneous,O,JJ
,hierarchy,O,NN
,of,O,IN
,officials,O,NNS
,has,O,VBZ
,been,O,VBN
,understood,O,VBN
,from,O,IN
,the,O,DT
,first,O,JJ
,appearance,O,NN
,of,O,IN
,the,O,DT
,novel,O,NN
,.,O,.
,Kafka,I-PER,NNP
,",",O,","
,an,O,DT
,employee,O,NN
,of,O,IN
,a,O,DT
,workmen,O,NNS
,’,O,VBP
,s,O,JJ
,insurance,O,NN
,company,O,NN
,and,O,CC
,a,O,DT
,loyal,O,JJ
,friend,O,NN
,of,O,IN
,many,O,JJ
,eastern,O,JJ
,European,O,JJ
,Jews,O,NNP
,for,O,IN
,whom,O,WP
,he,O,PRP
,had,O,VBD
,had,O,VBN
,to,O,TO
,obtain,O,VB
,permits,O,NNS
,to,O,TO
,stay,O,VB
,in,O,IN
,the,O,DT
,country,O,NN
,",",O,","
,had,O,VBD
,a,O,DT
,very,O,RB
,intimate,O,JJ
,knowledge,O,NN
,of,O,IN
,the,O,DT
,political,O,JJ
,conditions,O,NNS
,of,O,IN
,his,O,PRP$
,country,O,NN
,.,O,.
,He,O,PRP
,knew,O,VBD
,that,O,IN
,a,O,DT
,man,O,NN
,caught,O,NN
,in,O,IN
,the,O,DT
,bureaucratic,O,JJ
,machinery,O,NN
,is,O,VBZ
,already,O,RB
,condemned,O,VBN
,;,O,:
,and,O,CC
,that,O,IN
,no,O,DT
,man,O,NN
,can,O,MD
,expect,O,VB
,justice,O,NN
,from,O,IN
,judicial,O,JJ
,procedures,O,NNS
,where,O,WRB
,interpretation,O,NN
,of,O,IN
,the,O,DT
,law,O,NN
,is,O,VBZ
,coupled,O,VBN
,with,O,IN
,the,O,DT
,administering,O,NN
,of,O,IN
,lawlessness,O,NN
,",",O,","
,and,O,CC
,where,O,WRB
,the,O,DT
,chronic,O,JJ
,inaction,O,NN
,of,O,IN
,the,O,DT
,interpreters,O,NNS
,is,O,VBZ
,compensated,O,VBN
,by,O,IN
,a,O,DT
,bureaucratic,O,JJ
,machine,O,NN
,whose,O,WP$
,senseless,O,NN
,automatism,O,NN
,has,O,VBZ
,the,O,DT
,privilege,O,NN
,of,O,IN
,ultimate,O,JJ
,decision,O,NN
,.,O,.
,But,O,CC
,to,O,TO
,the,O,DT
,public,O,NN
,of,O,IN
,the,O,DT
,twenties,O,NNS
,",",O,","
,bureaucracy,O,NN
,did,O,VBD
,not,O,RB
,seem,O,VB
,an,O,DT
,evil,O,JJ
,great,O,JJ
,enough,O,RB
,to,O,TO
,explain,O,VB
,the,O,DT
,horror,O,NN
,and,O,CC
,terror,O,NN
,expressed,O,VBN
,in,O,IN
,the,O,DT
,novel,O,NN
,.,O,.
,People,O,NNS
,were,O,VBD
,more,O,RBR
,frightened,O,VBN
,by,O,IN
,the,O,DT
,tale,O,NN
,than,O,IN
,by,O,IN
,the,O,DT
,real,O,JJ
,thing,O,NN
,.,O,.
,They,O,PRP
,looked,O,VBD
,therefore,O,RB
,for,O,IN
,other,O,JJ
,",",O,","
,seemingly,O,RB
,deeper,O,JJR
,",",O,","
,interpretations,O,NNS
,",",O,","
,and,O,CC
,they,O,PRP
,found,O,VBD
,them,O,PRP
,",",O,","
,following,O,VBG
,the,O,DT
,fashion,O,NN
,of,O,IN
,the,O,DT
,day,O,NN
,",",O,","
,in,O,IN
,a,O,DT
,mysterious,O,JJ
,depiction,O,NN
,of,O,IN
,religious,O,JJ
,reality,O,NN
,",",O,","
,the,O,DT
,expression,O,NN
,of,O,IN
,a,O,DT
,terrible,O,JJ
,theology,O,NN
,.,O,.
,The,O,DT
,reason,O,NN
,for,O,IN
,this,O,DT
,misinterpretation,O,NN
,which,O,WDT
,in,O,IN
,my,O,PRP$
,opinion,O,NN
,is,O,VBZ
,as,O,IN
,fundamental,O,JJ
,",",O,","
,though,O,RB
,not,O,RB
,as,O,IN
,crude,O,NN
,",",O,","
,a,O,DT
,misunderstanding,O,NN
,as,O,IN
,the,O,DT
,psychoanalytical,O,JJ
,variety,O,NN
,",",O,","
,is,O,VBZ
,of,O,IN
,course,O,NN
,to,O,TO
,be,O,VB
,found,O,VBN
,in,O,IN
,Kafka,I-PER,NNP
,’,O,NNP
,s,O,NN
,work,O,NN
,itself,O,PRP
,.,O,.
,It,O,PRP
,is,O,VBZ
,true,O,JJ
,",",O,","
,Kafka,I-PER,NNP
,depicted,O,VBD
,a,O,DT
,society,O,NN
,which,O,WDT
,had,O,VBD
,established,O,VBN
,itself,O,PRP
,as,O,IN
,a,O,DT
,substitute,O,NN
,for,O,IN
,God,O,NNP
,",",O,","
,and,O,CC
,he,O,PRP
,described,O,VBD
,men,O,NNS
,who,O,WP
,looked,O,VBD
,upon,O,IN
,the,O,DT
,laws,O,NNS
,of,O,IN
,society,O,NN
,as,O,IN
,though,O,IN
,they,O,PRP
,were,O,VBD
,divine,O,JJ
,laws,O,NNS
,—,O,VBP
,unchangeable,O,JJ
,through,O,IN
,the,O,DT
,will,O,MD
,of,O,IN
,men,O,NNS
,.,O,.
,In,O,IN
,other,O,JJ
,words,O,NNS
,",",O,","
,what,O,WP
,is,O,VBZ
,wrong,O,JJ
,with,O,IN
,the,O,DT
,world,O,NN
,in,O,IN
,which,O,WDT
,Kafka,I-PER,NNP
,’,O,NNP
,s,O,NN
,heroes,O,NNS
,are,O,VBP
,caught,O,VBN
,is,O,VBZ
,precisely,O,RB
,its,O,PRP$
,deification,O,NN
,",",O,","
,its,O,PRP$
,pretense,O,NN
,of,O,IN
,representing,O,VBG
,a,O,DT
,divine,O,JJ
,necessity,O,NN
,.,O,.
,Kafka,I-PER,NNP
,wants,O,VBZ
,to,O,TO
,destroy,O,VB
,this,O,DT
,world,O,NN
,by,O,IN
,exposing,O,VBG
,its,O,PRP$
,hideous,O,JJ
,and,O,CC
,hidden,O,JJ
,structure,O,NN
,",",O,","
,by,O,IN
,contrasting,O,VBG
,reality,O,NN
,and,O,CC
,pretense,O,NN
,.,O,.
,But,O,CC
,the,O,DT
,modern,O,JJ
,reader,O,NN
,",",O,","
,or,O,CC
,at,O,IN
,least,O,JJS
,the,O,DT
,reader,O,NN
,of,O,IN
,the,O,DT
,twenties,O,NNS
,",",O,","
,fascinated,O,VBN
,by,O,IN
,paradoxes,O,NNS
,as,O,IN
,such,O,JJ
,",",O,","
,and,O,CC
,attracted,O,VBN
,by,O,IN
,mere,O,JJ
,contrasts,O,NNS
,",",O,","
,was,O,VBD
,no,O,RB
,longer,O,RB
,willing,O,JJ
,to,O,TO
,listen,O,VB
,to,O,TO
,reason,O,NN
,.,O,.
,His,O,PRP$
,understanding,O,NN
,of,O,IN
,Kafka,I-PER,NNP
,reveals,O,NNS
,more,O,RBR
,about,O,IN
,himself,O,PRP
,than,O,IN
,about,O,IN
,Kafka,I-PER,NNP
,—,O,NN
,reveals,O,VBZ
,his,O,PRP$
,fitness,O,NN
,for,O,IN
,this,O,DT
,society,O,NN
,",",O,","
,even,O,RB
,if,O,IN
,it,O,PRP
,be,O,VB
,the,O,DT
,fitness,O,NN
,of,O,IN
,an,O,DT
,“,O,NNP
,élite,O,NNP
,”,O,NNP
,;,O,:
,and,O,CC
,he,O,PRP
,is,O,VBZ
,quite,O,RB
,serious,O,JJ
,when,O,WRB
,it,O,PRP
,comes,O,VBZ
,to,O,TO
,Kafka,I-PER,NNP
,’,O,NNP
,s,O,VBD
,sarcasm,O,NN
,about,O,IN
,the,O,DT
,lying,O,JJ
,necessity,O,NN
,and,O,CC
,the,O,DT
,necessary,O,JJ
,lying,O,NN
,as,O,IN
,divine,O,NN
,law,O,NN
,.,O,.
,Kafka,I-PER,NNP
,’,O,NNP
,s,O,VBD
,next,O,JJ
,great,O,JJ
,novel,O,NN
,",",O,","
,The,O,DT
,Castle,O,NNP
,",",O,","
,brings,O,VBZ
,us,O,PRP
,back,O,RB
,to,O,TO
,the,O,DT
,same,O,JJ
,world,O,NN
,",",O,","
,which,O,WDT
,this,O,DT
,time,O,NN
,is,O,VBZ
,seen,O,VBN
,not,O,RB
,through,O,IN
,the,O,DT
,eyes,O,NNS
,of,O,IN
,somebody,O,NN
,who,O,WP
,finally,O,RB
,submits,O,VBZ
,to,O,TO
,necessity,O,NN
,and,O,CC
,who,O,WP
,learns,O,VBZ
,of,O,IN
,its,O,PRP$
,government,O,NN
,only,O,RB
,because,O,IN
,he,O,PRP
,has,O,VBZ
,been,O,VBN
,accused,O,VBN
,by,O,IN
,it,O,PRP
,",",O,","
,but,O,CC
,through,O,IN
,the,O,DT
,eyes,O,NNS
,of,O,IN
,quite,O,RB
,another,O,DT
,K,O,NNP
,.,O,.
,This,O,DT
,K,O,NNP
,.,O,.
,comes,O,VBZ
,to,O,TO
,it,O,PRP
,out,O,IN
,of,O,IN
,his,O,PRP$
,own,O,JJ
,free,O,JJ
,will,O,MD
,",",O,","
,as,O,IN
,a,O,DT
,stranger,O,NN
,",",O,","
,and,O,CC
,wants,O,VBZ
,to,O,TO
,realize,O,VB
,there,O,EX
,a,O,DT
,very,O,RB
,definite,O,JJ
,purpose,O,NN
,—,O,NN
,to,O,TO
,establish,O,VB
,himself,O,PRP
,",",O,","
,to,O,TO
,become,O,VB
,a,O,DT
,fellow,O,JJ
,-,O,:
,citizen,O,NN
,",",O,","
,build,O,VB
,up,O,RP
,a,O,DT
,life,O,NN
,and,O,CC
,marry,O,NN
,",",O,","
,to,O,TO
,find,O,VB
,work,O,NN
,and,O,CC
,be,O,VB
,a,O,DT
,useful,O,JJ
,member,O,NN
,of,O,IN
,society,O,NN
,.,O,.
,The,O,DT
,outstanding,O,JJ
,characteristic,O,NN
,of,O,IN
,the,O,DT
,K,O,NNP
,.,O,.
,in,O,IN
,The,O,DT
,Castle,O,NNP
,is,O,VBZ
,that,O,IN
,he,O,PRP
,is,O,VBZ
,interested,O,JJ
,only,O,RB
,in,O,IN
,universals,O,NNS
,",",O,","
,in,O,IN
,those,O,DT
,things,O,NNS
,to,O,TO
,which,O,WDT
,all,O,DT
,men,O,NNS
,have,O,VBP
,a,O,DT
,natural,O,JJ
,right,O,NN
,.,O,.
,But,O,CC
,while,O,IN
,he,O,PRP
,demands,O,VBZ
,no,O,DT
,more,O,JJR
,than,O,IN
,this,O,DT
,",",O,","
,it,O,PRP
,is,O,VBZ
,quite,O,RB
,obvious,O,JJ
,that,O,IN
,he,O,PRP
,will,O,MD
,be,O,VB
,satisfied,O,VBN
,with,O,IN
,nothing,O,NN
,less,O,NN
,.,O,.
,He,O,PRP
,is,O,VBZ
,easily,O,RB
,enough,O,RB
,persuaded,O,VBN
,to,O,TO
,change,O,VB
,his,O,PRP$
,profession,O,NN
,",",O,","
,but,O,CC
,an,O,DT
,occupation,O,NN
,",",O,","
,“,O,NNP
,regular,O,JJ
,work,O,NN
,;,O,:
,”,O,CC
,he,O,PRP
,demands,O,VBZ
,as,O,IN
,his,O,PRP$
,right,O,NN
,.,O,.
,The,O,DT
,troubles,O,NNS
,of,O,IN
,K,O,NNP
,.,O,.
,start,O,NN
,because,O,IN
,only,O,RB
,the,O,DT
,Castle,O,NNP
,can,O,MD
,fulfill,O,VB
,his,O,PRP$
,demands,O,NNS
,;,O,:
,and,O,CC
,the,O,DT
,Castle,O,NNP
,will,O,MD
,do,O,VB
,this,O,DT
,either,O,CC
,as,O,IN
,an,O,DT
,“,O,NNP
,act,O,NN
,of,O,IN
,favor,O,NN
,”,O,NN
,or,O,CC
,if,O,IN
,he,O,PRP
,consents,O,VBZ
,to,O,TO
,become,O,VB
,its,O,PRP$
,secret,O,JJ
,employee,O,NN
,—,O,NNP
,“,O,NNP
,an,O,DT
,ostensible,O,JJ
,village,O,NN
,worker,O,NN
,whose,O,WP$
,real,O,JJ
,occupation,O,NN
,is,O,VBZ
,determined,O,VBN
,through,O,IN
,Barnabas,O,NNP
,",",O,","
,”,O,VBZ
,the,O,DT
,court,O,NN
,messenger,O,NN
,.,O,.
,Since,O,IN
,his,O,PRP$
,demands,O,NNS
,are,O,VBP
,nothing,O,NN
,more,O,JJR
,than,O,IN
,the,O,DT
,inalienable,O,JJ
,rights,O,NNS
,of,O,IN
,man,O,NN
,",",O,","
,he,O,PRP
,cannot,O,VBZ
,accept,O,VB
,them,O,PRP
,as,O,IN
,an,O,DT
,“,O,NNP
,act,O,NN
,of,O,IN
,favor,O,NN
,from,O,IN
,the,O,DT
,Castle,O,NNP
,.,O,.
,“,O,NN
,At,O,IN
,this,O,DT
,point,O,NN
,the,O,DT
,villagers,O,NNS
,step,O,VBP
,in,O,IN
,;,O,:
,they,O,PRP
,try,O,VBP
,to,O,TO
,persuade,O,VB
,K,O,NNP
,.,O,.
,that,O,IN
,he,O,PRP
,lacks,O,VBZ
,experience,O,NN
,and,O,CC
,does,O,VBZ
,not,O,RB
,know,O,VB
,that,O,IN
,the,O,DT
,whole,O,NN
,of,O,IN
,life,O,NN
,is,O,VBZ
,constituted,O,VBN
,and,O,CC
,dominated,O,VBN
,by,O,IN
,favor,O,NN
,and,O,CC
,disfavor,O,NN
,",",O,","
,by,O,IN
,grace,O,NN
,and,O,CC
,disgrace,O,NN
,",",O,","
,both,O,CC
,as,O,IN
,inexplicable,O,JJ
,",",O,","
,as,O,RB
,hazardous,O,JJ
,as,O,IN
,good,O,JJ
,and,O,CC
,bad,O,JJ
,luck,O,NN
,.,O,.
,To,O,TO
,be,O,VB
,in,O,IN
,the,O,DT
,right,O,NN
,or,O,CC
,in,O,IN
,the,O,DT
,wrong,O,JJ
,",",O,","
,they,O,PRP
,try,O,VBP
,to,O,TO
,explain,O,VB
,to,O,TO
,him,O,PRP
,",",O,","
,is,O,VBZ
,part,O,NN
,of,O,IN
,“,O,JJ
,fate,O,NN
,”,O,NNP
,which,O,WDT
,no,O,DT
,one,O,NN
,can,O,MD
,alter,O,VB
,",",O,","
,which,O,WDT
,one,O,CD
,can,O,MD
,only,O,RB
,fulfil,O,VB
,.,O,.
,K,O,NNP
,.,O,.
,’,O,NN
,s,O,JJ
,strangeness,O,NN
,therefore,O,NN
,receives,O,VBZ
,an,O,DT
,additional,O,JJ
,meaning,O,NN
,:,O,:
,he,O,PRP
,is,O,VBZ
,strange,O,JJ
,not,O,RB
,only,O,RB
,because,O,IN
,he,O,PRP
,does,O,VBZ
,not,O,RB
,“,O,VB
,belong,O,RB
,to,O,TO
,the,O,DT
,village,O,NN
,",",O,","
,and,O,CC
,does,O,VBZ
,not,O,RB
,belong,O,VB
,to,O,TO
,the,O,DT
,Castle,O,NNP
,",",O,","
,”,O,NN
,but,O,CC
,because,O,IN
,he,O,PRP
,is,O,VBZ
,the,O,DT
,only,O,JJ
,normal,O,JJ
,and,O,CC
,healthy,O,JJ
,human,O,NN
,being,O,VBG
,in,O,IN
,a,O,DT
,world,O,NN
,where,O,WRB
,everything,O,NN
,human,O,JJ
,and,O,CC
,normal,O,JJ
,",",O,","
,love,O,VB
,and,O,CC
,work,O,VB
,and,O,CC
,fellowship,O,VB
,",",O,","
,has,O,VBZ
,been,O,VBN
,wrested,O,VBN
,out,O,IN
,of,O,IN
,men,O,NNS
,’,O,NNP
,s,O,VBD
,hands,O,NNS
,to,O,TO
,become,O,VB
,a,O,DT
,gift,O,NN
,endowed,O,VBN
,from,O,IN
,without,O,IN
,—,O,NN
,or,O,CC
,as,O,IN
,Kafka,I-PER,NNP
,puts,O,VBZ
,it,O,PRP
,",",O,","
,from,O,IN
,above,O,IN
,.,O,.
,Whether,O,CC
,as,O,IN
,fate,O,NN
,",",O,","
,as,O,IN
,blessing,O,NN
,or,O,CC
,as,O,IN
,curse,O,NN
,",",O,","
,it,O,PRP
,is,O,VBZ
,something,O,NN
,mysterious,O,JJ
,",",O,","
,something,O,NN
,which,O,WDT
,man,O,NN
,may,O,MD
,receive,O,VB
,or,O,CC
,be,O,VB
,denied,O,VBN
,",",O,","
,but,O,CC
,never,O,RB
,can,O,MD
,create,O,VB
,.,O,.
,Accordingly,O,RB
,",",O,","
,K,O,NNP
,.,O,.
,’,O,NN
,s,O,JJ
,aspiration,O,NN
,",",O,","
,far,O,RB
,from,O,IN
,being,O,VBG
,commonplace,O,NN
,and,O,CC
,obvious,O,JJ
,",",O,","
,is,O,VBZ
,",",O,","
,in,O,IN
,fact,O,NN
,",",O,","
,exceptional,O,JJ
,and,O,CC
,scandalous,O,JJ
,.,O,.
,He,O,PRP
,puts,O,VBZ
,up,O,RP
,a,O,DT
,fight,O,NN
,for,O,IN
,the,O,DT
,minimum,O,NN
,as,O,IN
,if,O,IN
,it,O,PRP
,were,O,VBD
,something,O,NN
,which,O,WDT
,embraced,O,VBD
,the,O,DT
,sum,O,JJ
,total,O,NN
,of,O,IN
,all,O,DT
,possible,O,JJ
,demands,O,NNS
,.,O,.
,For,O,IN
,the,O,DT
,villagers,O,NNS
,K,O,NNP
,.,O,.
,’,O,NN
,s,O,JJ
,strangeness,O,NN
,consists,O,VBZ
,not,O,RB
,of,O,IN
,his,O,PRP$
,being,O,VBG
,deprived,O,VBN
,of,O,IN
,the,O,DT
,essentials,O,NNS
,of,O,IN
,life,O,NN
,but,O,CC
,of,O,IN
,his,O,PRP$
,asking,O,VBG
,for,O,IN
,them,O,PRP
,.,O,.
,K,O,NNP
,.,O,.
,’,O,NN
,s,O,JJ
,stubborn,O,JJ
,singleness,O,NN
,of,O,IN
,purpose,O,NN
,",",O,","
,however,O,RB
,",",O,","
,opens,O,VBZ
,the,O,DT
,eyes,O,NNS
,of,O,IN
,some,O,DT
,of,O,IN
,the,O,DT
,villagers,O,NNS
,;,O,:
,his,O,PRP$
,behavior,O,NN
,teaches,O,VBZ
,them,O,PRP
,that,O,IN
,human,O,JJ
,rights,O,NNS
,may,O,MD
,be,O,VB
,worth,O,JJ
,fighting,O,VBG
,for,O,IN
,",",O,","
,that,O,IN
,the,O,DT
,rule,O,NN
,of,O,IN
,the,O,DT
,Castle,O,NNP
,is,O,VBZ
,not,O,RB
,divine,O,JJ
,law,O,NN
,and,O,CC
,",",O,","
